no adults,no children,weekend ss,week mf,meal plan,car parking,leadtime,arrival year,arrival month,arrival date,market segment,repeated guest,cancellations,bookings not canceled,avg price,special requests,booking_status
0.5,0,0,0.117647059,0.333333333,0,0.106094808,0,0.818181818,0.633333333,0.25,0,0,0,0.175,0.4,Not_Canceled
0.5,0,0,0.117647059,0.666666667,0,0.577878104,1,0.454545455,0.466666667,0.25,0,0,0,0.212962963,0.2,Canceled
0.25,0,0.142857143,0,0.333333333,0,0,0,0.818181818,0.133333333,0,0,0,0,0.177777778,0,Not_Canceled
0.5,0,0.142857143,0.176470588,0,0,0.002257336,0,0.636363636,0.3,0.25,0,0,0,0.177777778,0.2,Not_Canceled
0.5,0,0.285714286,0.117647059,0.333333333,0,0.223476298,0,0.818181818,0.966666667,0.25,0,0,0,0.12037037,0,Canceled
0.5,0,0.142857143,0,0.333333333,0,0.027088036,0,0.818181818,0.1,0,0,0,0,0.133333333,0,Not_Canceled
0.5,0,0.285714286,0.117647059,0.333333333,0,0.223476298,0,0.818181818,0.966666667,0.25,0,0,0,0.12037037,0,Canceled
0.25,0,0,0.058823529,0.333333333,0,0.275395034,1,0.909090909,0.8,0.5,0,0,0,0.124074074,0,Not_Canceled
0.5,0,0.285714286,0.235294118,0.333333333,0,0.004514673,1,0.181818182,0.633333333,0,0,0,0,0.157407407,0,Not_Canceled
0.5,0,0,0.176470588,0.333333333,0,0.083521445,1,0.818181818,0.4,0,0,0,0,0.194444444,0,Not_Canceled
0.5,0,0.285714286,0.058823529,0,0,0.293453725,1,0.363636364,0.7,0.25,0,0,0,0.175,0.2,Not_Canceled
0.5,0,0,0.117647059,0.333333333,0,0.223476298,1,0.272727273,0.9,0.25,0,0,0,0.211666667,0.2,Not_Canceled
0.5,0,0.142857143,0.058823529,0.333333333,0,0.135440181,0,0.727272727,0.666666667,0,0,0,0,0.12037037,0,Not_Canceled
0.25,0,0,0.117647059,0.333333333,0,0.004514673,1,0.363636364,0.6,0.75,0,0,0,0.203703704,0,Canceled
0.25,0,0.142857143,0.117647059,0.333333333,0,0.083521445,0,0.909090909,0.166666667,0.25,0,0,0,0.06912963,0,Canceled
0.5,0,0,0.117647059,0.666666667,0,0.126410835,0,0.727272727,0.533333333,0,0,0,0,0.151851852,0,Not_Canceled
0.5,0,0.142857143,0.058823529,0.333333333,0,0.006772009,0,0.727272727,0.6,0.25,0,0,0,0.328703704,0.2,Not_Canceled
0.5,0,0.285714286,0.117647059,0.333333333,0,0.241534989,1,0.909090909,0.4,0.25,0,0,0,0.162037037,0.2,Not_Canceled
0,0.2,0,0.176470588,0.333333333,0,0.126410835,1,1,0.2,0.25,0,0,0,0.152666667,0.2,Not_Canceled
0.5,0,0,0.058823529,0,0,0.004514673,1,0,0.266666667,0.25,0,0,0,0.128703704,0.2,Not_Canceled
0.5,0,0,0.117647059,0.333333333,0,0.162528217,1,0.818181818,0.2,0,0,0,0,0.158333333,0,Not_Canceled
0.5,0,0,0.058823529,0,1,0.051918736,1,0.272727273,0.866666667,0.25,0,0,0,0.212962963,0.2,Not_Canceled
0.25,0,0.285714286,0.058823529,0.333333333,0,0.076749436,1,0.454545455,0.6,0.25,0,0,0,0.15,0,Canceled
0.5,0,0,0.058823529,0.333333333,0,0.652370203,0,0.818181818,0.533333333,0,0,0,0,0.124074074,0,Not_Canceled
0.5,0,0.285714286,0.176470588,0,0,0.557562077,1,0.909090909,0.6,0.25,0,0,0,0.118055556,0,Canceled
0.5,0,0.285714286,0.058823529,0.333333333,0,0.41986456,1,0.545454545,0.966666667,0.25,0,0,0,0.225555556,0.2,Canceled
0.5,0,0,0.235294118,0.333333333,0,0.144469526,1,0.909090909,0,0.25,0,0,0,0.173333333,0.4,Not_Canceled
0.5,0,0,0.117647059,0.333333333,0,0.079006772,1,0.454545455,0.666666667,0.25,0,0,0,0.188888889,0.2,Not_Canceled
0.75,0,0.285714286,0.058823529,0.333333333,0,0.216704289,1,0.272727273,0.3,0.25,0,0,0,0.225555556,0.2,Not_Canceled
0.5,0,0.142857143,0.058823529,0,0,0.09255079,1,0.454545455,0.866666667,0.25,0,0,0,0.181666667,0.2,Canceled
0.5,0,0,0.235294118,0.333333333,0,0.124153499,0,0.909090909,0.566666667,0,0,0,0,0.111111111,0.2,Not_Canceled
0.5,0,0,0.176470588,0.333333333,0,0.329571106,0,1,0.933333333,0,0,0,0,0.138888889,0,Not_Canceled
0.25,0,0,0.117647059,0.333333333,0,0.072234763,0,0.909090909,0.633333333,0,0,0,0,0.135185185,0,Not_Canceled
0.5,0,0,0.058823529,0.666666667,0,0.124153499,1,0.272727273,0.166666667,0,0,0,0,0.192592593,0,Not_Canceled
0.5,0,0,0.235294118,0,0,0.128668172,1,0.909090909,0,0.25,0,0,0,0.146666667,0.2,Not_Canceled
0.25,0,0.142857143,0.176470588,0.333333333,0,0.015801354,1,1,0.933333333,0.25,0,0,0,0.232962963,0.4,Not_Canceled
0.25,0,0.285714286,0.294117647,0,0,0.279909707,1,0.363636364,0.966666667,0.25,0,0,0,0.16287037,0,Not_Canceled
0.5,0,0.285714286,0.117647059,0.666666667,0,0.381489842,1,0.272727273,0.7,0.25,0,0,0,0.196296296,0,Canceled
0.25,0,0.142857143,0.117647059,0.333333333,0,0.013544018,1,0.363636364,0.5,0.25,0,0,0,0.253092593,0.2,Not_Canceled
0.5,0,0,0.235294118,0.333333333,0,0.115124153,0,0.909090909,0.333333333,0,0,0,0,0.111111111,0.2,Not_Canceled
0.5,0,0.142857143,0,0,0,0.029345372,1,0.454545455,0.4,0.25,0,0,0,0.164814815,0.4,Not_Canceled
0.5,0,0.142857143,0.176470588,0.333333333,0,0.225733634,1,0.363636364,0.6,0.25,0,0,0,0.251851852,0.2,Not_Canceled
0.5,0,0,0.058823529,0,0,0.313769752,1,0.545454545,0.9,0.25,0,0,0,0.175,0.2,Not_Canceled
0.5,0,0.142857143,0.117647059,0.333333333,0,0.264108352,1,1,0.833333333,0.25,0,0,0,0.173333333,0.4,Not_Canceled
0.5,0,0.142857143,0.235294118,0.333333333,0,0.088036117,1,0.272727273,0.633333333,0.25,0,0,0,0.223333333,0,Canceled
0.5,0,0,0.176470588,0.333333333,0,0.194130926,1,0.272727273,0.166666667,0.25,0,0,0,0.183888889,0.2,Not_Canceled
0.5,0.2,0,0.058823529,0.333333333,1,0.004514673,1,0.727272727,0.033333333,0.25,0,0,0,0.477777778,0.2,Not_Canceled
0.25,0,0,0.176470588,0.333333333,0,0.042889391,1,0.363636364,0.066666667,0.25,0,0,0,0.222444444,0.4,Not_Canceled
0.25,0,0,0.117647059,0.333333333,0,0.433408578,1,0.454545455,0.766666667,0,0,0,0,0.175925926,0,Not_Canceled
0.25,0,0,0.058823529,0.333333333,0,0.004514673,0,0.727272727,0.3,1,0,0,0,0,0.2,Not_Canceled
0.5,0,0.285714286,0.058823529,0.333333333,0,0.194130926,1,1,0.566666667,0,0,0,0,0.138888889,0,Not_Canceled
0.5,0,0,0.176470588,0.333333333,0,0.06772009,1,0.818181818,0.133333333,0.25,0,0,0,0.291666667,0.4,Not_Canceled
0.5,0,0,0.117647059,0.333333333,0,0.404063205,1,0.454545455,0.066666667,0.25,0,0,0,0.180925926,0.2,Not_Canceled
0.5,0,0,0.117647059,0.333333333,0,0.058690745,1,0.272727273,0.466666667,0.25,0,0,0,0.262962963,0,Canceled
0.5,0,0,0.058823529,0.333333333,0,0.124153499,1,0.272727273,0.166666667,0,0,0,0,0.148148148,0,Not_Canceled
0.5,0,0.142857143,0.117647059,0.333333333,0,0.167042889,1,0.272727273,0.8,0.25,0,0,0,0.158333333,0.2,Not_Canceled
0.5,0,0,0.176470588,0.333333333,0,0.322799097,1,0.636363636,0.8,0,0,0,0,0.185185185,0,Not_Canceled
0.5,0,0.142857143,0,0,0,0.076749436,1,0.909090909,0.433333333,0.25,0,0,0,0.162962963,0.4,Not_Canceled
0.5,0,0.142857143,0.058823529,0.333333333,1,0.06772009,1,0.636363636,0.933333333,0.25,0,0,0,0.2275,0.2,Not_Canceled
0.5,0,0,0.117647059,0.333333333,0,0.399548533,1,0.454545455,0.066666667,0.25,0,0,0,0.185185185,0,Canceled
0.5,0,0.285714286,0.176470588,0.333333333,0,0.076749436,0,0.818181818,0.8,0,0,0,0,0.138888889,0,Not_Canceled
0.5,0,0.142857143,0.235294118,0.333333333,0,0.040632054,1,0.181818182,0.266666667,0.25,0,0,0,0.216296296,0.2,Not_Canceled
0.75,0,0.142857143,0.058823529,0.333333333,0,0.602708804,1,1,1,0.25,0,0,0,0.225,0,Not_Canceled
0.5,0,0.142857143,0.117647059,0.333333333,0,0.144469526,1,0.454545455,0.866666667,0.25,0,0,0,0.207222222,0.2,Not_Canceled
0.75,0,0.285714286,0.294117647,0.333333333,0,0.349887133,1,0.454545455,0.9,0.25,0,0,0,0.225092593,0.4,Canceled
0.5,0,0,0.294117647,0.333333333,0,0.103837472,1,0.181818182,0.933333333,0,0,0,0,0.138888889,0.2,Not_Canceled
0.5,0.2,0,0.117647059,0.333333333,0,0.187358916,1,0.272727273,0,0.25,0,0,0,0.295,0,Canceled
0.5,0,0,0.294117647,0.333333333,0,0.288939052,1,0.818181818,0.333333333,0.25,0,0,0,0.245,0,Canceled
0.5,0,0.285714286,0,0,0,0.045146727,1,1,0.8,0.25,0,0,0,0.162962963,0.4,Not_Canceled
0.5,0,0.142857143,0.235294118,0.333333333,0,0.090293454,1,0.181818182,0.433333333,0.25,0,0,0,0.183,0,Not_Canceled
0.5,0,0.142857143,0.117647059,0.333333333,1,0.103837472,1,0.181818182,0.1,0.25,0,0,0,0.182037037,0.2,Not_Canceled
0.25,0,0.142857143,0,0.333333333,0,0.002257336,1,0.818181818,0.533333333,0.25,0,0,0,0.277777778,0.4,Not_Canceled
0.5,0,0.285714286,0.176470588,0,0,0.442437923,1,0.727272727,0.1,0.25,0,0,0,0.17787037,0.2,Not_Canceled
0.25,0,0,0.117647059,0.333333333,0,0.424379233,1,0.454545455,0.466666667,0.25,0,0,0,0.240740741,0,Canceled
0.5,0,0,0.058823529,0,0,0.038374718,1,1,0.3,0.25,1,0,0.086206897,0.175925926,0,Not_Canceled
0.5,0,0,0.176470588,0.333333333,0,0.329571106,1,0.636363636,0.266666667,0,0,0,0,0.210296296,0,Not_Canceled
0.5,0,0.142857143,0.176470588,0,0,0.248306998,1,0.363636364,0.133333333,0.25,0,0,0,0.188111111,0.2,Not_Canceled
0.5,0,0.142857143,0.117647059,0.333333333,1,0.153498871,1,0.181818182,0.566666667,0.25,0,0,0,0.195,0,Not_Canceled
0.5,0,0.285714286,0.058823529,0.333333333,0,0.164785553,1,0.272727273,0.266666667,0.25,0,0,0,0.214444444,0.2,Not_Canceled
0.5,0,0,0.058823529,0.333333333,0,0.207674944,1,0.363636364,0.6,0.25,0,0,0,0.276666667,0.2,Not_Canceled
0.5,0,0.285714286,0.294117647,0.333333333,0,0.386004515,1,0.636363636,0.966666667,0.25,0,0,0,0.206648148,0,Canceled
0.5,0.1,0,0.117647059,0.333333333,1,0.30248307,1,0.636363636,0.1,0.25,0,0,0,0.241666667,0.4,Not_Canceled
0.5,0,0,0.117647059,0.666666667,0,0.72234763,1,0.636363636,0.566666667,0.25,0,0,0,0.212962963,0.2,Canceled
0.5,0,0,0.235294118,0.333333333,0,0.266365688,1,0.272727273,0.4,0.25,0,0,0,0.168425926,0.2,Not_Canceled
0.5,0,0,0.176470588,0.333333333,0,0.06772009,1,0.909090909,0.533333333,0.25,0,0,0,0.140888889,0.2,Not_Canceled
0.5,0.2,0.142857143,0.176470588,0.333333333,0,0.06772009,1,1,0.7,0.25,0,0,0,0.290555556,0,Not_Canceled
0.5,0,0.142857143,0,0,0,0.426636569,1,0.818181818,0.733333333,0.25,0,0,0,0.158333333,0.4,Not_Canceled
0.75,0,0.142857143,0.117647059,0.333333333,0,0.124153499,1,0.363636364,0.4,0.25,0,0,0,0.295,0.4,Not_Canceled
0.25,0,0,0.235294118,0.333333333,0,0.124153499,1,1,0.4,0.25,0,0,0,0.138518519,0.4,Not_Canceled
0.5,0,0,0.058823529,0.333333333,0,0.036117381,0,0.818181818,1,0.25,0,0,0,0.175925926,0.2,Not_Canceled
0.5,0,0,0.176470588,0.333333333,0,0.054176072,0,0.818181818,0.233333333,0.25,0,0,0,0.198148148,0.2,Not_Canceled
0.5,0,0,0.176470588,0.333333333,0,0.018058691,1,0.090909091,0.5,0,0,0,0,0.118518519,0,Not_Canceled
0.5,0,0.142857143,0.235294118,0.333333333,1,0.022573363,0,0.909090909,0.033333333,0.25,0,0,0,0.153611111,0,Not_Canceled
0.5,0,0.142857143,0.176470588,0.333333333,0,0,0,0.727272727,0.666666667,0.25,0,0,0,0.287037037,0.2,Not_Canceled
0.5,0,0,0.058823529,0,0,0.027088036,1,0.454545455,0.966666667,0.25,0,0,0,0.188296296,0.2,Not_Canceled
0.5,0,0.285714286,0.058823529,0.333333333,0,0.072234763,0,0.727272727,0.133333333,0.25,0,0,0,0.175,0.6,Not_Canceled
0.5,0,0,0.117647059,0.333333333,0,0.410835214,1,0.727272727,0.966666667,0.25,0,0,0,0.218333333,0.4,Canceled
0.5,0,0.142857143,0,0,0,0.002257336,1,0.454545455,0.866666667,0.25,0,0,0,0.235185185,0.2,Not_Canceled
0.5,0,0,0.176470588,0,0,0.275395034,1,0.454545455,0.5,0.25,0,0,0,0.215,0.4,Not_Canceled
0.5,0,0.285714286,0.176470588,0.333333333,0,0.090293454,1,0.454545455,0.966666667,0.25,0,0,0,0.218333333,0.2,Not_Canceled
0.5,0.2,0.285714286,0.117647059,0.333333333,0,0.261851016,1,0.454545455,0.833333333,0.25,0,0,0,0.341185185,0.2,Canceled
0.75,0,0.285714286,0.117647059,0.333333333,1,0.27765237,1,0.636363636,0.4,0.25,0,0,0,0.288333333,0.2,Not_Canceled
0.75,0,0.285714286,0.294117647,0.333333333,0,0.090293454,1,0.272727273,0.7,0.25,0,0,0,0.251407407,0,Canceled
0.5,0.1,0.285714286,0.294117647,0.333333333,0,0.237020316,1,0.909090909,0.366666667,0.25,0,0,0,0.190425926,0.6,Not_Canceled
0.5,0,0,0.058823529,0.333333333,0,1,1,0.272727273,0.933333333,0.25,0,0,0,0.12037037,0,Canceled
0.5,0,0.285714286,0.176470588,0.333333333,0,0.004514673,0,0.909090909,0.433333333,0.25,0,0,0,0.190740741,0.2,Not_Canceled
0.5,0,0,0.176470588,0.333333333,0,0.715575621,1,0.727272727,0,0.25,0,0,0,0.196666667,0.2,Canceled
0.5,0,0,0.117647059,0.666666667,0,0.645598194,1,0.727272727,0.5,0,0,0,0,0.108333333,0,Not_Canceled
0.5,0,0.142857143,0.176470588,0.333333333,0,0.153498871,1,0.181818182,0.3,0.25,0,0,0,0.136944444,0,Canceled
0.5,0,0,0.176470588,0.333333333,0,0.334085779,1,0.363636364,0.133333333,0.25,0,0,0,0.195,0,Not_Canceled
0.75,0,0.285714286,0,0.333333333,0,0.153498871,1,0.272727273,0.766666667,0.25,0,0,0,0.246666667,0.4,Not_Canceled
0.5,0,0,0.117647059,0.333333333,0,0.06772009,1,0.181818182,0.966666667,0,0,0,0,0.158333333,0,Not_Canceled
0.25,0,0,0.058823529,0.333333333,0,0.031602709,1,0.909090909,0.066666667,0.25,0,0,0,0.207407407,0.2,Canceled
0.5,0.2,0,0.117647059,0.333333333,0,0.248306998,1,0.818181818,0.433333333,0.25,0,0,0,0.353333333,0,Canceled
0.25,0,0.285714286,0.176470588,0.333333333,0,0.264108352,1,0.454545455,0.133333333,0,0,0,0,0.203703704,0,Not_Canceled
0.5,0,0.142857143,0.235294118,0.333333333,0,0.191873589,1,0.545454545,0.4,0.25,0,0,0,0.169407407,0.2,Not_Canceled
0.5,0,0,0.117647059,0,0,0.002257336,1,0.818181818,0.633333333,0.25,0,0,0,0.25,0.4,Not_Canceled
0.25,0,0.142857143,0.117647059,0.333333333,0,0.056433409,1,0.818181818,0.533333333,0.25,0,0,0,0.238888889,0.4,Not_Canceled
0.5,0,0.285714286,0.235294118,0,0,0.652370203,1,1,0.9,0.25,0,0,0,0.130648148,0.4,Canceled
0.5,0,0.142857143,0.235294118,0.333333333,0,0.063205418,0,0.818181818,0.6,0,0,0,0,0.138888889,0,Not_Canceled
0.25,0,0,0.235294118,0,0,0.180586907,1,0.181818182,0.933333333,0.25,0,0,0,0.133796296,0,Not_Canceled
0.5,0,0,0.058823529,0.333333333,0,0.0248307,0,0.818181818,0.266666667,0.25,0,0,0,0.287037037,0.4,Not_Canceled
0.5,0.1,0.142857143,0,0.333333333,0,0.365688488,1,0.545454545,0.8,0.25,0,0,0,0.225,0.4,Canceled
0.5,0,0.285714286,0.294117647,0.333333333,0,0.349887133,1,0.454545455,0.9,0.25,0,0,0,0.168425926,0.4,Not_Canceled
0.25,0,0.285714286,0.117647059,0.333333333,0,0.18510158,1,0.363636364,0.7,0.25,0,0,0,0.203055556,0,Not_Canceled
0.75,0,0.285714286,0.235294118,0.333333333,0,0.060948081,1,0.272727273,0.466666667,0.25,0,0,0,0.264296296,0,Canceled
0.25,0,0.142857143,0.117647059,0.333333333,0,0.029345372,1,0.363636364,0.266666667,0,0,0,0,0.166666667,0,Not_Canceled
0.5,0,0,0.117647059,0.333333333,0,0.553047404,1,0.454545455,0.533333333,0.25,0,0,0,0.138888889,0,Canceled
0.5,0,0,0.117647059,0.333333333,0,0.0248307,1,0.909090909,0.566666667,0.25,0,0,0,0.205555556,0.2,Canceled
0.5,0,0.285714286,0.117647059,0.333333333,0,0.600451467,1,0.818181818,0.966666667,0.25,0,0,0,0.160555556,0.4,Not_Canceled
0.5,0,0.142857143,0,0.333333333,0,0.088036117,1,0.181818182,0.9,0.25,0,0,0,0.218333333,0.2,Not_Canceled
0.25,0,0,0.117647059,0.333333333,0,0.029345372,1,0.454545455,0,1,1,0.230769231,0.086206897,0,0.2,Not_Canceled
0.5,0,0,0.235294118,0,0,0.25282167,1,0.363636364,0.1,0.25,0,0,0,0.188111111,0.2,Not_Canceled
0.5,0,0.142857143,0.117647059,0,0,0.198645598,1,0.272727273,0.233333333,0.25,0,0,0,0.109074074,0.2,Not_Canceled
0.5,0,0,0.058823529,0.333333333,0,0.126410835,1,0.454545455,0.233333333,0,0,0,0,0.222222222,0,Not_Canceled
0.5,0,0.285714286,0.176470588,0.333333333,0,0.164785553,1,0.272727273,0.2,0.25,0,0,0,0.198333333,0,Canceled
0.5,0,0.142857143,0.058823529,0.333333333,0,0.180586907,1,0.363636364,0.033333333,0.25,0,0,0,0.235,0.2,Not_Canceled
0.5,0,0,0.176470588,0.333333333,0,0.293453725,1,0.727272727,0.933333333,0.25,0,0,0,0.258333333,0.4,Canceled
0.5,0,0.142857143,0.176470588,0,0,0.155756208,1,0.272727273,0.1,0.25,0,0,0,0.149537037,0.2,Not_Canceled
0.5,0,0,0.117647059,0.666666667,0,0.616252822,0,0.545454545,0.533333333,0.25,0,0,0,0.201851852,0,Canceled
0.5,0,0,0.058823529,0.666666667,0,0.124153499,1,0.272727273,0.166666667,0,0,0,0,0.192592593,0,Not_Canceled
0.25,0,0,0.176470588,0.333333333,0,0.009029345,1,0.909090909,0,0.5,1,0.076923077,0.086206897,0.12037037,0.2,Not_Canceled
0.5,0,0,0.176470588,0.333333333,0,0.218961625,1,0.363636364,0.766666667,0.25,0,0,0,0.26,0,Not_Canceled
0.5,0,0,0.176470588,0.333333333,0,0.099322799,1,0.090909091,0.533333333,0,0,0,0,0.138888889,0,Not_Canceled
0.5,0,0,0.058823529,0,0,0.069977427,1,0.272727273,0.433333333,0.25,0,0,0,0.175,0,Canceled
0.5,0,0.142857143,0,0,0,0,1,0.454545455,0.133333333,0.25,0,0,0,0.201851852,0,Not_Canceled
0.5,0,0.285714286,0.117647059,0.333333333,0,0.139954853,1,0.909090909,0.366666667,0.25,0,0,0,0.194444444,0.4,Not_Canceled
0.5,0,0.285714286,0.117647059,0.333333333,0,0.194130926,1,0.272727273,0.533333333,0.25,0,0,0,0.199907407,0.2,Not_Canceled
0.75,0,0.285714286,0.117647059,0.333333333,0,0.006772009,1,0.818181818,0.2,0.25,0,0,0,0.399259259,0.2,Not_Canceled
0.5,0,0.142857143,0.058823529,0,0,0.44469526,1,0.636363636,0,0.25,0,0,0,0.158333333,0.2,Not_Canceled
0.5,0,0,0.117647059,0.333333333,0,0.322799097,1,0.545454545,0.366666667,0.25,0,0,0,0.195,0.4,Not_Canceled
0.25,0,0.285714286,0.058823529,0.666666667,0,0.051918736,1,0,0.033333333,0.25,0,0,0,0.001851852,0,Not_Canceled
0.5,0,0,0.117647059,0.333333333,0,0.018058691,1,0.454545455,0.466666667,0.25,0,0,0,0.288888889,0,Canceled
0.25,0,0,0.117647059,0.333333333,0,0.029345372,1,0.909090909,0.5,0.25,0,0,0,0.135462963,0.2,Not_Canceled
0.5,0,0.142857143,0.117647059,0.333333333,0,0.632054176,1,0.727272727,0.6,0.25,0,0,0,0.203703704,0,Canceled
0.5,0.1,0.142857143,0,0,0,0.0248307,0,0.727272727,0.4,0.25,0,0,0,0.161851852,0.2,Not_Canceled
0.5,0,0,0.117647059,0.333333333,0,0.715575621,1,0.727272727,0.466666667,0.25,0,0,0,0.222222222,0,Canceled
0.5,0,0.142857143,0.117647059,0,0,0.417607223,1,1,0.5,0.25,0,0,0,0.146666667,0,Canceled
0.5,0,0.142857143,0.176470588,0.333333333,0,0.361173815,1,0.454545455,0.966666667,0.25,0,0,0,0.168425926,0.2,Not_Canceled
0.5,0,0,0.235294118,0.333333333,0,0.23476298,1,0.818181818,0.566666667,0.25,0,0,0,0.169407407,0.2,Not_Canceled
0.5,0.1,0,0.058823529,0.333333333,0,0.0248307,1,0.909090909,0.133333333,0.25,0,0,0,0.277777778,0.2,Canceled
0.5,0,0,0.058823529,0,0,0.004514673,1,0.181818182,0.7,0.25,0,0,0,0.164814815,0,Not_Canceled
0.5,0,0.142857143,0.235294118,0,0,0.031602709,1,0.636363636,0.533333333,0.25,0,0,0,0.169314815,0.2,Not_Canceled
0.5,0,0,0.117647059,0.333333333,0,0.0496614,1,0.363636364,0.633333333,0,0,0,0,0.259259259,0,Not_Canceled
0.25,0.1,0.285714286,0.294117647,0,0,0.083521445,0,0.818181818,0.766666667,0.25,0,0,0,0.162555556,0,Not_Canceled
0.5,0,0,0.117647059,0.666666667,0,0.659142212,1,0.545454545,0.666666667,0.25,0,0,0,0.212962963,0,Canceled
0.5,0,0,0.176470588,0.333333333,0,0.0248307,0,0.727272727,0.266666667,0.25,0,0,0,0.149722222,0.2,Not_Canceled
0.5,0,0.142857143,0.176470588,0.333333333,0,0.194130926,1,0.181818182,1,0.25,0,0,0,0.152685185,0.2,Not_Canceled
0.5,0,0,0.058823529,0,0,0.246049661,1,0.818181818,0.333333333,0.25,0,0,0,0.2,0,Canceled
0.5,0,0.142857143,0.058823529,0.333333333,0,0.162528217,1,0.272727273,0.033333333,0.25,0,0,0,0.178333333,0.2,Not_Canceled
0.5,0,0.142857143,0.294117647,0.333333333,0,0.442437923,1,0.636363636,0.7,0.25,0,0,0,0.184166667,0,Canceled
0.5,0,0,0.117647059,0.333333333,0,0.126410835,1,0.363636364,0.4,0.25,0,0,0,0.26,0.2,Not_Canceled
0.5,0,0.142857143,0.176470588,0.333333333,0,0.426636569,1,0.636363636,0.233333333,0,0,0,0,0.133796296,0,Not_Canceled
0.5,0,0.142857143,0.235294118,0.333333333,0,0.284424379,1,0.636363636,0.466666667,0.25,0,0,0,0.233333333,0,Not_Canceled
0.5,0,0.285714286,0.176470588,0.333333333,0,0.683972912,1,0.636363636,0.6,0.25,0,0,0,0.144444444,0,Canceled
0.25,0,0.285714286,0.117647059,0.333333333,0,0.182844244,1,0.909090909,0.166666667,0.25,0,0,0,0.271481481,0.2,Not_Canceled
0.5,0,0.142857143,0.117647059,0.333333333,0,0.121896163,1,0.818181818,0.3,0.25,0,0,0,0.22,0,Canceled
0.25,0,0,0.058823529,0.333333333,0,0.033860045,1,0.818181818,0.166666667,0.25,0,0,0,0.268518519,0,Canceled
0.5,0,0,0.235294118,0.333333333,0,0.194130926,1,0.272727273,0.166666667,0.25,0,0,0,0.15662963,0,Canceled
0.5,0,0.142857143,0.117647059,0.666666667,0,0.363431151,1,0.181818182,0.8,0.25,0,0,0,0.240740741,0,Canceled
0.5,0,0.571428571,0.588235294,0.333333333,0,0.331828442,1,0.636363636,0.066666667,0.25,0,0,0,0.220148148,0.2,Canceled
0.5,0,0.142857143,0.117647059,0.333333333,0,0.207674944,1,0.363636364,0.966666667,0,0,0,0,0.188,0,Not_Canceled
0.5,0,0,0.058823529,0.333333333,0,0.196388262,0,0.727272727,0.333333333,0.5,0,0,0,0.185185185,0,Canceled
0.5,0,0.285714286,0.058823529,0.333333333,0,0.246049661,1,0.181818182,0.633333333,0,0,0,0,0.107407407,0,Not_Canceled
0.5,0,0,0.235294118,0.333333333,0,0.286681716,1,0.181818182,0.733333333,0,0,0,0,0.113888889,0.4,Not_Canceled
0.5,0,0.142857143,0.117647059,0.666666667,0,0.943566591,1,0.727272727,0.833333333,0.25,0,0,0,0.198148148,0,Canceled
0.5,0,0.142857143,0.235294118,0,0,0.35214447,1,0.636363636,0.766666667,0.25,0,0,0,0.161666667,0.2,Not_Canceled
0.5,0,0,0.117647059,0.333333333,0,0.180586907,0,0.545454545,0.5,0.25,0,0,0,0.141666667,0.2,Canceled
0.5,0,0.285714286,0.117647059,0,0,0.476297968,1,1,0.5,0.25,0,0,0,0.118055556,0,Canceled
0.5,0,0.142857143,0.117647059,0.333333333,0,0.616252822,1,0.363636364,0.4,0.25,0,0,0,0.175925926,0,Canceled
